Video ID,Título,Publicado,Miniatura,Duración,Vistas,Likes,Comentarios
vrdy7AOfGRw,Sobre de Prorroga #ajdrewgameplays #fcmobile,2025-09-01T17:30:13Z,https://i.ytimg.com/vi/vrdy7AOfGRw/mqdefault.jpg,PT25S,75,3,0
sx-F2Snwh7Q,Prorroga #ajdrewgameplays #fcmobile,2025-09-01T11:30:53Z,https://i.ytimg.com/vi/sx-F2Snwh7Q/mqdefault.jpg,PT26S,500,13,0
__zn9DXji8c,🔴FC MOBILE de CHILL,2025-08-31T23:48:19Z,https://i.ytimg.com/vi/__zn9DXji8c/mqdefault_live.jpg,P0D,0,0,0
8k0cGPKjAA0,Prorroga00 #ajdrewgameplays #fcmobile,2025-08-31T23:26:58Z,https://i.ytimg.com/vi/8k0cGPKjAA0/mqdefault.jpg,PT16S,1556,29,0
A6LQfhuiEu8,🤯 ¡EL SOBRE MÁS CHETADO de PRÓRROGA! 100K Puntos en FC Mobile,2025-08-31T22:20:52Z,https://i.ytimg.com/vi/A6LQfhuiEu8/mqdefault.jpg,PT10M52S,29,5,0
Wt7X6hvHCcw,🔥 ¡LÍMITE SUPERADO! Mejora ÉPICA hasta GRL 115 con GRANDES BASES  FC Mobile,2025-08-28T07:17:36Z,https://i.ytimg.com/vi/Wt7X6hvHCcw/mqdefault.jpg,PT9M49S,39,4,0
FzebN3iD3Ns,⚓ Abrimos SOBRES de PRÓRROGA de CAPITANES… ¿Vale la pena  FC Mobile,2025-08-24T18:58:37Z,https://i.ytimg.com/vi/FzebN3iD3Ns/mqdefault.jpg,PT5M16S,378,11,5
B9i6IV2bE4w,🔴FC MOBILE de CHILL,2025-08-24T07:02:36Z,https://i.ytimg.com/vi/B9i6IV2bE4w/mqdefault.jpg,PT2H2M31S,905,26,2
ZTGdc4dbA20,🌌 Ragnarok TERMINA… pero mi FULL ÍCONOS queda LEGENDARIO | FC Mobile,2025-08-20T17:53:31Z,https://i.ytimg.com/vi/ZTGdc4dbA20/mqdefault.jpg,PT12M8S,48,3,5
vpE1xLSEmSE,🌅 ¡ADIÓS RAGNAROK! Recompensas FINALES con CARTAS ÉPICAS  FC Mobile,2025-08-20T04:10:43Z,https://i.ytimg.com/vi/vpE1xLSEmSE/mqdefault.jpg,PT14M11S,109,3,0
k0QWjnb-0TQ,⚔️ ¡SOBRES DE PRÓRROGA en RAGNAROK TRAS EL AMANECER! Recompensas ÉPICAS  FC Mobile,2025-08-07T04:45:57Z,https://i.ytimg.com/vi/k0QWjnb-0TQ/mqdefault.jpg,PT7M1S,31,0,0
yKQ14Lc4cTM,😱 ¿BUG o ESTRATEGIA? Multiplico fragmentos en Ragnarok FC Mobile,2025-07-31T00:40:27Z,https://i.ytimg.com/vi/yKQ14Lc4cTM/mqdefault.jpg,PT12M27S,927,28,8
mrBZRV9EmuI,🔴En Vivo 🔴 LIKE Y REVISO TU PLANTILLA + RANKEANDO en FC MOBILE,2025-07-25T18:46:02Z,https://i.ytimg.com/vi/mrBZRV9EmuI/mqdefault.jpg,PT2H23M5S,107,13,0
XlKIzpJbypU,🔴 LIKE Y REVISO TU PLANTILLA + RANKEANDO en FC MOBILE,2025-07-25T06:21:01Z,https://i.ytimg.com/vi/XlKIzpJbypU/mqdefault.jpg,PT2H24M28S,1762,25,0
